FCFS:
CZAS OCZEKIWANIA	SREDNI CZAS OCZEKIWANIA
0	0.0
10	5.0
17	9.0
20	11.75
27	14.8
36	18.333333333333332
46	22.285714285714285
47	25.375
57	28.88888888888889
60	32.0
65	35.0
66	37.583333333333336
76	40.53846153846154
81	43.42857142857143
88	46.4
93	49.3125
102	52.411764705882355
104	55.27777777777778
112	58.26315789473684
115	61.1
121	63.95238095238095
129	66.9090909090909
130	69.65217391304348
133	72.29166666666667
142	75.08
143	77.6923076923077
148	80.29629629629629
149	82.75
151	85.10344827586206
157	87.5
163	89.93548387096774
173	92.53125
181	95.21212121212122
182	97.76470588235294
190	100.4
198	103.11111111111111
200	105.72972972972973
210	108.47368421052632
220	111.33333333333333
226	114.2
236	117.17073170731707
243	120.16666666666667
246	123.09302325581395
252	126.02272727272727
258	128.95555555555555
260	131.80434782608697
265	134.63829787234042
273	137.52083333333334
275	140.3265306122449
276	143.04
283	145.7843137254902
292	148.59615384615384
299	151.43396226415095
301	154.2037037037037
311	157.05454545454546
317	159.91071428571428
319	162.7017543859649
328	165.55172413793105
332	168.3728813559322
337	171.18333333333334
347	174.0655737704918
357	177.01612903225808
362	179.95238095238096
368	182.890625
375	185.84615384615384
384	188.84848484848484
389	191.83582089552237
393	194.7941176470588
396	197.71014492753622
402	200.62857142857143
403	203.4788732394366
407	206.30555555555554
412	209.12328767123287
421	211.98648648648648
424	214.81333333333333
432	217.67105263157896
439	220.54545454545453
446	223.43589743589743
449	226.29113924050634
450	229.0875
458	231.91358024691357
467	234.78048780487805
475	237.67469879518072
478	240.53571428571428
484	243.4
488	246.24418604651163
494	249.09195402298852
504	251.98863636363637
512	254.91011235955057
515	257.8
518	260.65934065934067
520	263.4782608695652
522	266.258064516129
525	269.01063829787233
526	271.7157894736842
535	274.4583333333333
540	277.1958762886598
545	279.92857142857144
550	282.65656565656565
554	285.37
563	288.1188118811881
567	290.8529411764706
576	293.621359223301
583	296.40384615384613
592	299.2190476190476
594	302.0
599	304.77570093457945
605	307.55555555555554
613	310.35779816513764
617	313.1454545454545
624	315.94594594594594
634	318.7857142857143
640	321.62831858407077
645	324.46491228070175
653	327.32173913043476
655	330.1465517241379
660	332.96581196581195
670	335.8220338983051
673	338.65546218487395
676	341.46666666666664
680	344.26446280991735
685	347.05737704918033
691	349.8536585365854
700	352.6774193548387
707	355.512



SJF:
CZAS OCZEKIWANIA	SREDNI CZAS OCZEKIWANIA
0	0.0
1	0.5
2	1.0
3	1.5
4	2.0
5	2.5
6	3.0
7	3.5
8	4.0
9	4.5
10	5.0
12	5.583333333333333
14	6.230769230769231
16	6.928571428571429
18	7.666666666666667
20	8.4375
22	9.235294117647058
24	10.055555555555555
26	10.894736842105264
28	11.75
30	12.619047619047619
32	13.5
34	14.391304347826088
37	15.333333333333334
40	16.32
43	17.346153846153847
46	18.40740740740741
49	19.5
52	20.620689655172413
55	21.766666666666666
58	22.93548387096774
61	24.125
64	25.333333333333332
67	26.558823529411764
70	27.8
73	29.055555555555557
76	30.324324324324323
80	31.63157894736842
84	32.97435897435897
88	34.35
92	35.75609756097561
96	37.19047619047619
100	38.651162790697676
104	40.13636363636363
108	41.644444444444446
113	43.19565217391305
118	44.787234042553195
123	46.416666666666664
128	48.08163265306123
133	49.78
138	51.509803921568626
143	53.26923076923077
148	55.056603773584904
153	56.870370370370374
158	58.70909090909091
163	60.57142857142857
168	62.45614035087719
173	64.36206896551724
178	66.28813559322033
183	68.23333333333333
188	70.19672131147541
194	72.19354838709677
200	74.22222222222223
206	76.28125
212	78.36923076923077
218	80.48484848484848
224	82.6268656716418
230	84.79411764705883
236	86.98550724637681
242	89.2
248	91.43661971830986
254	93.69444444444444
260	95.97260273972603
266	98.27027027027027
272	100.58666666666667
279	102.9342105263158
286	105.31168831168831
293	107.71794871794872
300	110.15189873417721
307	112.6125
314	115.09876543209876
321	117.60975609756098
328	120.144578313253
335	122.70238095238095
342	125.28235294117647
349	127.88372093023256
356	130.50574712643677
364	133.1590909090909
372	135.8426966292135
380	138.55555555555554
388	141.2967032967033
396	144.06521739130434
404	146.86021505376345
412	149.68085106382978
420	152.52631578947367
428	155.39583333333334
436	158.28865979381445
444	161.20408163265307
452	164.14141414141415
461	167.11
470	170.1089108910891
479	173.13725490196077
488	176.19417475728156
497	179.27884615384616
506	182.3904761904762
515	185.52830188679246
524	188.69158878504672
533	191.87962962962962
542	195.09174311926606
551	198.3272727272727
560	201.5855855855856
569	204.86607142857142
579	208.1769911504425
589	211.51754385964912
599	214.88695652173914
609	218.2844827586207
619	221.7094017094017
629	225.16101694915255
639	228.6386554621849
649	232.14166666666668
659	235.6694214876033
669	239.22131147540983
679	242.79674796747966
689	246.3951612903226
699	250.016
