FIFO:		
OBECNA STRONA	KOLEJKA	ILOSC BLEDOW
10	(10, 0, 0)	1
18	(10, 18, 0)	2
21	(10, 18, 21)	3
5	(5, 18, 21)	4
4	(5, 4, 21)	5
2	(5, 4, 2)	6
8	(8, 4, 2)	7
33	(8, 33, 2)	8
30	(8, 33, 30)	9
36	(36, 33, 30)	10
38	(36, 38, 30)	11
15	(36, 38, 15)	12
22	(22, 38, 15)	13
27	(22, 27, 15)	14
12	(22, 27, 12)	15
24	(24, 27, 12)	16
39	(24, 39, 12)	17
40	(24, 39, 40)	18
15	(15, 39, 40)	19
40	(15, 39, 40)	19
12	(15, 12, 40)	20
8	(15, 12, 8)	21
30	(30, 12, 8)	22
4	(30, 4, 8)	23
32	(30, 4, 32)	24
17	(17, 4, 32)	25
12	(17, 12, 32)	26
34	(17, 12, 34)	27
33	(33, 12, 34)	28
27	(33, 27, 34)	29
31	(33, 27, 31)	30
27	(33, 27, 31)	30
36	(36, 27, 31)	31
39	(36, 39, 31)	32
23	(36, 39, 23)	33
14	(14, 39, 23)	34
23	(14, 39, 23)	34
15	(14, 15, 23)	35
6	(14, 15, 6)	36
22	(22, 15, 6)	37
34	(22, 34, 6)	38
28	(22, 34, 28)	39
5	(5, 34, 28)	40
31	(5, 31, 28)	41
18	(5, 31, 18)	42
23	(23, 31, 18)	43
15	(23, 15, 18)	44
25	(23, 15, 25)	45
39	(39, 15, 25)	46
14	(39, 14, 25)	47
38	(39, 14, 38)	48
31	(31, 14, 38)	49
20	(31, 20, 38)	50
37	(31, 20, 37)	51
29	(29, 20, 37)	52
20	(29, 20, 37)	52
22	(29, 22, 37)	53
1	(29, 22, 1)	54
36	(36, 22, 1)	55
14	(36, 14, 1)	56
10	(36, 14, 10)	57
26	(26, 14, 10)	58
8	(26, 8, 10)	59
37	(26, 8, 37)	60
29	(29, 8, 37)	61
8	(29, 8, 37)	61
40	(29, 40, 37)	62
35	(29, 40, 35)	63
31	(31, 40, 35)	64
38	(31, 38, 35)	65
29	(31, 38, 29)	66
11	(11, 38, 29)	67
37	(11, 37, 29)	68
13	(11, 37, 13)	69
33	(33, 37, 13)	70
17	(33, 17, 13)	71
6	(33, 17, 6)	72
11	(11, 17, 6)	73
8	(11, 8, 6)	74
2	(11, 8, 2)	75
9	(9, 8, 2)	76
14	(9, 14, 2)	77
28	(9, 14, 28)	78
20	(20, 14, 28)	79
2	(20, 2, 28)	80
35	(20, 2, 35)	81
27	(27, 2, 35)	82
29	(27, 29, 35)	83
26	(27, 29, 26)	84
8	(8, 29, 26)	85
3	(8, 3, 26)	86
24	(8, 3, 24)	87
7	(7, 3, 24)	88
8	(7, 8, 24)	89
9	(7, 8, 9)	90
40	(40, 8, 9)	91
11	(40, 11, 9)	92
40	(40, 11, 9)	92
18	(40, 11, 18)	93
3	(3, 11, 18)	94
40	(3, 40, 18)	95
7	(3, 40, 7)	96
13	(13, 40, 7)	97
6	(13, 6, 7)	98
33	(13, 6, 33)	99
19	(19, 6, 33)	100
19	(19, 6, 33)	100
4	(19, 4, 33)	101
39	(19, 4, 39)	102
18	(18, 4, 39)	103
15	(18, 15, 39)	104
7	(18, 15, 7)	105
27	(27, 15, 7)	106
33	(27, 33, 7)	107
11	(27, 33, 11)	108
24	(24, 33, 11)	109
29	(24, 29, 11)	110
29	(24, 29, 11)	110
