FIFO:
OBECNA STRONA	KOLEJKA	ILOSC BLEDOW
3	(3, 0, 0)	1
1	(3, 1, 0)	2
2	(3, 1, 2)	3
2	(3, 1, 2)	3
4	(4, 1, 2)	4
4	(4, 1, 2)	4
5	(4, 5, 2)	5
5	(4, 5, 2)	5
3	(4, 5, 3)	6
4	(4, 5, 3)	6
3	(4, 5, 3)	6
1	(1, 5, 3)	7
3	(1, 5, 3)	7
4	(1, 4, 3)	8
4	(1, 4, 3)	8
3	(1, 4, 3)	8
4	(1, 4, 3)	8
1	(1, 4, 3)	8
4	(1, 4, 3)	8
3	(1, 4, 3)	8



LRU:
OBECNA STRONA	KOLEJKA	ILOSC BLEDOW
3	(3, 0, 0)	1
1	(1, 3, 0)	2
2	(2, 1, 3)	3
2	(2, 1, 3)	3
4	(4, 2, 1)	4
4	(4, 2, 1)	4
5	(5, 4, 2)	5
5	(5, 4, 2)	5
3	(3, 5, 4)	6
4	(4, 3, 5)	6
3	(3, 4, 5)	6
1	(1, 3, 4)	7
3	(3, 1, 4)	7
4	(4, 3, 1)	7
4	(4, 3, 1)	7
3	(3, 4, 1)	7
4	(4, 3, 1)	7
1	(1, 4, 3)	7
4	(4, 1, 3)	7
3	(3, 4, 1)	7
